"";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"resúmenes";0;0;1;0;17;92;24
"terminar";1;3;3;3;43;72;56
"potencial";13;29;72;12;229;668;416
"panorama";1;3;3;0;16;99;58
"tutores";0;1;6;0;12;53;40
"siquiera";0;0;4;3;14;13;6
"conducir";4;3;9;3;62;73;42
"asesoramiento";1;8;4;1;9;36;6
"individuo";0;2;28;0;35;121;82
"abril";0;1;3;1;19;54;13
"life";1;1;2;0;15;30;27
"coach";0;0;0;0;4;8;3
"priorización";0;1;3;0;1;14;10
"motivación";2;1;3;1;70;181;142
"financiero";0;13;24;0;30;65;75
"borrador";0;1;0;0;4;43;11
"redactar";0;0;0;1;48;125;14
"redacción";0;0;5;5;196;176;74
"formato";2;1;5;4;49;295;106
"conciso";0;0;0;0;12;58;6
"inversor";0;12;0;0;1;7;0
"anticipación";0;0;1;0;4;9;1
"sonar";1;0;1;1;14;14;5
"tono";0;0;7;7;22;104;24
"par";1;3;9;2;119;264;73
"ligeramente";0;0;1;0;3;10;8
"simple";19;0;9;10;74;126;88
"breve";0;2;8;4;37;112;33
"fragmento";0;0;0;0;9;43;16
"libro";0;0;8;14;210;325;128
"pegar";0;0;1;0;17;40;10
"ingeniero";0;6;8;7;26;49;19
"predeterminar";0;0;1;0;3;3;5
"interactuamos";0;1;0;2;6;25;10
"registro";1;1;9;4;21;91;23
"cv";0;1;2;0;2;9;4
"empleo";4;23;17;0;70;136;69
"requisito";4;2;4;18;32;124;31
"currículum";5;3;1;0;9;39;10
"estrella";1;0;1;0;12;12;1
"empleador";0;2;7;0;5;44;5
"enviar";1;1;7;0;35;56;31
"postular";0;0;0;0;6;12;4
"solicitar";0;2;3;3;91;207;61
"excel";0;0;0;1;3;33;7
"ecuación";1;0;0;0;15;32;69
"hoja";0;2;3;2;56;60;19
"automatizando";1;0;2;0;0;18;3
"repetitivas";0;1;0;2;19;31;11
"macro";0;3;0;0;2;8;8
"prácticamente";1;1;1;3;11;30;36
"perfección";0;0;0;0;4;5;1
"45";0;5;6;0;32;104;40
"ajuste";1;2;5;0;16;94;63
"destinatario";0;0;1;0;6;22;3
"eficacia";0;3;8;8;42;147;71
"agotar";0;0;0;0;3;10;1
"durar";0;1;0;0;9;13;8
"educar";0;13;6;0;46;187;144
"envío";0;1;0;0;0;23;5
"fin";5;49;83;14;128;280;251
"semana";2;0;3;0;34;65;80
"pérdida";0;3;1;2;17;39;21
"participar";3;12;45;8;79;262;202
"defensa";0;6;2;0;11;50;12
"frecuencia";11;2;7;8;33;111;50
"autoridad";0;18;13;4;22;97;35
"legal";0;10;21;2;24;252;73
"efectivo";4;4;19;1;176;673;512
"ex";0;9;10;0;12;59;71
"copia";2;0;0;0;18;24;23
"criticar";0;0;6;0;6;16;5
"evalúe";0;0;1;0;9;15;4
"calificación";1;5;15;9;47;145;70
"enumerar";3;2;0;2;11;13;6
"inductivo";0;0;0;1;0;9;13
"analógico";1;0;0;0;1;8;13
"profundización";0;1;0;0;4;19;9
"pistar";0;0;0;2;16;23;16
"inferior";0;4;2;0;4;31;23
"razonar";0;0;0;0;36;32;8
"david";0;0;5;0;21;26;21
"teoría";3;4;3;4;157;221;92
"blog";0;2;14;0;45;56;24
"originalidad";0;0;0;0;12;43;40
"lector";0;0;3;0;157;151;27
"calificar";2;14;4;1;36;49;30
"constructivo";1;1;0;2;21;32;23
"promedio";0;4;7;5;64;37;45
"ensayo";0;5;1;0;52;108;37
"rúbrica";0;0;0;0;8;61;52
"optimizar";0;3;2;2;23;142;58
"tomadores";0;0;0;0;4;7;2
"california";1;1;3;1;6;14;7
"talento";2;21;18;1;11;95;18
"responsable";2;9;14;15;149;630;274
"ayer";0;0;0;0;5;13;2
"vacación";0;0;0;0;2;8;1
"italia";0;5;2;1;6;8;7
"informe";8;11;41;10;96;328;131
"japonés";1;0;0;0;4;5;7
"invertir";0;11;12;0;28;43;34
"portugués";0;0;0;0;2;2;7
"científico";15;17;36;7;130;736;207
"español";0;1;2;9;35;180;81
"francés";0;3;1;0;14;31;21
"documental";0;0;0;5;27;41;19
"vi";0;5;4;1;5;33;14
"convincente";0;0;2;0;5;25;2
"frase";1;0;5;1;69;112;16
"gpt4";0;0;0;0;1;36;2
"occidental";0;0;3;0;7;10;5
"religioso";0;0;2;0;5;3;3
"filosófico";1;0;2;1;22;25;21
"paradigmas";1;0;5;1;4;30;13
"impresionante";0;1;0;1;10;12;6
"noruego";0;1;1;0;7;2;1
"funcionalidad";1;0;9;1;29;96;34
"eficiencia";0;10;11;0;38;305;83
"automatizadas";2;0;9;3;12;52;15
"archivo";0;1;1;5;19;80;20
"revisar";0;5;15;4;87;208;116
"result";0;0;0;0;1;13;4
"range";0;0;0;0;14;4;26
"sólido";0;15;10;1;36;112;165
"fluidez";0;0;0;1;4;38;8
"productividad";3;25;2;0;20;92;33
"consistente";0;0;1;0;10;41;18
"flujo";1;1;3;0;23;81;31
"educadora";0;0;0;0;0;6;4
"seguridad";3;31;36;12;99;415;156
"contra";0;3;48;1;81;89;68
"propietario";0;1;6;1;2;11;1
"cubrir";0;4;1;1;39;76;21
"jurisdicción";0;0;2;0;1;5;4
"policía";0;0;0;1;3;2;14
"incidente";0;0;2;0;2;58;5
"demás";0;8;3;0;51;52;27
"listo";0;1;1;1;5;9;6
"aburrir";0;0;1;0;2;3;4
"pronto";1;1;2;2;19;14;9
"puntuación";0;1;4;0;8;78;62
"revista";1;3;2;5;86;458;243
"conflicto";0;7;3;0;47;43;22
"imparcial";0;1;1;0;6;7;5
"mediación";0;1;1;1;6;32;130
"compromiso";0;10;19;5;60;206;129
"guerra";0;1;8;1;44;31;10
"detallar";0;2;8;2;40;218;69
"condensar";0;0;0;0;0;9;2
"youtube";0;0;7;1;26;77;43
"enlace";0;2;9;0;26;52;127
"quejar";0;1;1;2;5;6;0
"planta";1;2;0;1;38;94;18
"auto";2;6;3;5;67;40;20
"negar";0;0;2;0;13;18;6
"tribunal";0;0;3;0;0;6;1
"romper";1;1;2;0;16;16;11
"garantía";0;1;0;1;13;33;11
"similitud";1;0;0;6;4;8;29
"cocina";0;0;1;2;8;8;1
"ingrediente";0;1;1;0;17;12;2
"receta";0;1;0;5;6;9;4
"alimento";0;1;0;1;7;11;1
"seis";2;7;5;0;17;58;29
"menú";0;0;0;1;3;8;5
"alimentar";4;7;5;2;43;35;19
"diariamente";1;0;0;0;4;9;7
"visitar";1;0;0;1;20;38;17
"supermercado";0;0;1;0;10;3;0
"lento";0;4;1;0;10;23;7
"comprar";1;6;7;2;24;67;32
"montón";0;0;0;2;6;13;1
"valoración";0;1;1;0;21;86;101
"chico";0;0;3;5;12;28;84
"gerente";0;0;1;0;4;11;2
"emplear";2;17;11;5;92;288;139
"directivo";1;3;2;9;4;58;56
"suficiente";10;9;7;2;46;82;39
"obra";2;12;10;7;106;204;127
"anuncio";0;1;9;0;7;14;12
"ganar";2;0;3;6;48;39;41
"premio";0;1;5;6;8;20;5
"com";0;39;251;13;295;909;473
"trama";0;0;0;0;6;15;9
"personaje";0;0;1;0;67;106;39
"específicamente";1;1;4;0;19;71;48
"narración";0;0;0;0;11;20;1
"viaje";0;1;0;4;34;52;16
"regresar";0;1;0;0;4;7;1
"revelación";0;0;6;0;3;5;0
"revolucionario";0;0;2;0;10;18;7
"constar";0;0;0;0;10;26;9
"visual";0;0;3;0;46;446;114
"ucrania";0;0;1;0;6;3;0
"sentar|sentir";0;3;6;0;37;56;42
"inventar";0;0;2;0;25;36;7
"entrar";1;1;5;2;36;61;19
"controlar";2;1;14;1;42;118;35
"síntoma";0;0;0;0;3;16;3
"tratamiento";0;0;6;8;14;105;30
"sufrir";0;4;8;1;8;19;10
"cabeza";1;0;3;1;8;11;3
"atender";1;7;3;0;35;133;64
"mesa";0;0;8;1;13;32;10
"habitación";0;1;0;0;30;6;0
"emisión";0;1;0;0;7;24;3
"resonancia";0;0;0;0;2;6;2
"vinculantes";0;0;0;2;0;12;0
"contrato";0;1;0;0;6;48;15
"abogado";0;0;1;0;11;24;5
"préstamo";0;1;9;0;7;10;3
"encontrarse";0;0;1;0;5;11;7
"privacidad";0;13;126;13;108;411;213
"corrección";1;5;9;2;32;93;53
"administrador";1;2;1;0;13;40;22
"ee";0;2;2;0;31;59;7
"uu";0;2;1;0;31;21;4
"optimización";1;0;2;1;9;125;36
"depuración";0;0;0;0;0;19;3
"codificación";0;1;6;1;11;110;2
"propenso";0;1;0;0;2;10;2
"defecto";0;0;5;0;5;10;2
"disculpa";0;0;0;2;1;1;6
"marcha";0;6;12;3;22;26;24
"dónde";0;2;5;3;30;78;38
"oficial";0;5;3;0;11;80;76
"gramaticales";0;0;0;2;8;17;2
"ortográfico";0;0;0;0;1;12;4
"apropiado";5;3;8;0;40;113;41
"autorización";0;0;0;1;9;17;2
"panel";0;2;13;0;13;24;7
"adicional";1;8;8;1;91;207;76
"identificación";0;3;10;2;32;240;65
"ley";3;13;26;15;54;242;72
"fiscal";0;26;4;0;1;1;2
"pasión";0;0;0;0;4;8;4
"deseo";1;2;2;1;36;27;23
"narrativas";0;0;0;0;6;56;19
"atractivo";0;4;3;0;19;132;74
"despertar";0;0;1;0;12;24;10
"imaginación";0;0;0;0;22;22;17
"dormir";0;0;0;0;6;8;2
"hijo";0;0;1;1;12;32;32
"pared";2;0;1;0;23;11;7
"aventura";0;0;0;0;11;21;3
"presenciar";0;0;0;0;3;6;5
"guión";0;0;0;0;4;25;6
"word";0;0;1;6;5;15;15
"documentación";0;0;0;3;5;66;24
"significar";3;3;24;2;60;103;92
"actualización";0;4;6;1;20;190;67
"64";0;1;4;0;11;54;38
"ta";0;14;2;0;36;44;39
"lectura";1;1;6;8;104;194;117
"denso";0;0;0;0;4;5;1
"roberto";1;0;1;0;6;14;4
"green";0;0;0;0;4;6;1
"complicado";0;3;1;2;19;18;8
"afirmación";1;0;8;0;10;45;29
"comentar";0;2;0;1;17;53;35
"filosofía";0;2;4;2;24;37;27
"socioeconómicas";1;1;1;0;3;10;10
"crecer";2;12;13;2;42;63;41
"prepararse";0;1;2;0;11;14;9
"practicar";0;0;5;1;36;69;37
"confianza";1;5;10;8;37;200;60
"simuladas";0;0;1;0;2;8;4
"llamada";1;5;11;4;38;69;31
"telefónico";0;0;4;0;9;10;6
"simulada";0;0;0;3;0;6;2
"agenciar";2;6;10;0;22;156;28
"miedo";0;0;0;0;37;54;14
"guion";0;0;0;0;3;10;0
"coherente";0;1;3;2;33;151;58
"definitivamente";0;0;1;0;3;5;5
"ansiedad";0;0;1;0;5;17;21
"disfrutar";0;0;2;1;9;11;5
"interactuar";1;1;5;4;61;134;66
"preparación";0;16;16;2;49;198;78
"alternativo";0;0;2;0;10;27;5
"cuestionario";0;0;0;0;42;165;123
"ficha";0;0;0;33;1;18;5
"sintetizar";1;0;0;1;16;48;22
"abrumador";0;0;1;1;3;13;2
"simplificar";0;0;1;1;20;62;27
"tutoriales";0;0;2;0;14;15;3
"1000";1;0;0;0;3;12;3
"negocio";1;15;14;2;35;150;44
"logística";0;1;0;0;2;14;6
"reunión";0;0;9;1;23;70;24
"transcripción";0;0;1;2;5;63;5
"lógica";2;1;13;3;36;60;52
"categorizar";0;0;0;0;4;9;0
"colocar";2;1;1;2;18;28;11
"41";0;4;6;1;20;63;41
"estatuto";0;0;3;0;2;7;0
"comprensibles";0;0;0;0;3;18;5
"imponer";0;5;6;1;19;27;22
"confiable";0;2;4;0;41;93;38
"reformular";0;0;1;0;5;14;4
"incansable";0;0;0;0;1;9;0
"encuentro";0;0;3;1;12;36;13
"sigla";2;2;4;2;13;50;6
"convencional";3;1;1;0;12;51;15
"verificar";2;0;6;1;42;113;62
"42";0;3;6;4;25;76;49
"inconsistencias";0;0;0;0;0;25;4
"pelota";0;0;0;0;8;4;1
"itinerario";0;0;0;2;6;29;23
"presuponer";0;8;0;1;12;20;6
"stress";0;0;1;0;3;37;8
"sacar";0;1;2;1;21;37;9
"londres";0;2;8;1;7;11;18
"factible";0;0;0;1;7;8;6
"perfeccionar";0;2;1;0;8;28;16
"cargar";1;2;1;0;5;46;12
"actuar";1;7;10;3;117;363;90
"berlín";0;1;0;0;8;3;2
"delante";0;4;0;1;7;16;2
"44";0;2;7;0;24;55;50
"extenso";0;1;0;2;16;67;30
"excesivamente";0;1;0;0;3;11;10
"firmar";0;1;4;1;2;15;5
"número";3;29;22;15;145;220;129
"fecha";0;2;2;3;54;79;36
"anexo";0;1;0;0;16;45;54
"adjunto";0;0;0;1;1;24;1
"vigencia";0;0;0;0;1;14;4
"enmendar";0;0;0;0;0;10;0
"rentabilidad";0;0;1;0;2;4;6
"competitivo";0;11;3;0;6;42;15
"junta";0;0;6;0;11;12;3
"olvidar";0;0;0;1;20;42;21
"complemento";0;0;0;0;8;42;34
"diagrama";0;0;2;1;25;76;12
"trazar";1;0;0;0;6;10;4
"uh";0;0;0;0;0;15;0
"lindo";0;0;3;1;2;8;5
"asistente";5;8;61;9;141;341;143
"literal";0;0;1;0;8;28;6
"cerrar";0;0;2;1;8;36;13
"cifra";0;5;1;0;19;15;14
"46";0;4;9;0;23;51;57
"sentimiento";0;0;8;0;33;57;15
"ortografía";1;0;0;0;10;17;8
"comando";0;1;2;1;12;29;4
"optimizando";0;0;0;0;0;24;7
"finalización";0;0;0;0;0;9;6
"barra";0;0;2;0;9;17;2
"navegación";0;0;1;3;33;22;7
"azul";0;0;0;2;7;6;4
"haz";0;1;0;0;5;39;8
"móvil";1;10;19;1;40;63;150
"encargar";0;1;10;2;7;53;9
"junior";0;0;1;0;0;11;0
"ascender";1;0;0;0;1;5;11
"extensión";0;0;3;0;41;56;19
"vs";0;0;1;0;3;40;14
"honesto";0;0;0;0;1;3;10
"txt";0;0;0;0;1;10;6
"codificar";0;0;3;3;7;19;7
"48";1;2;5;0;28;65;55
"bloqueo";0;0;3;0;2;10;4
"recurrir";0;0;3;1;21;27;29
"ángulo";0;0;0;0;6;9;5
"barrera";0;4;12;0;19;122;40
"mental";3;4;3;3;31;77;53
"dinámico";1;2;10;0;66;251;169
"combatir";0;2;0;0;5;22;9
"exploración";1;0;3;0;44;184;80
"novedosos";0;0;2;0;8;13;4
"intercambiar";1;0;4;1;18;20;6
"apto";1;0;1;0;1;6;4
"49";0;3;4;1;15;54;39
"integral";1;6;17;0;36;215;150
"supervivencia";0;0;0;0;7;8;0
"comprometer";0;4;10;0;32;79;50
"césar";0;0;0;0;12;4;1
"shakespeare";0;0;0;0;3;1;11
"significativo";1;11;13;5;136;524;473
"vocabulario";1;0;2;2;42;27;13
"misterio";0;0;0;3;9;5;1
"500";0;6;8;2;22;18;17
"william";0;0;0;0;5;4;10
"molestar";0;0;0;0;3;1;6
"docencia";2;0;3;0;30;195;69
"especificación";1;0;0;0;3;70;5
"suficientemente";2;0;3;3;20;23;11
"sumar|sumir";0;0;0;4;7;8;12
"reto";7;6;31;5;89;369;178
"correspondencia";0;1;0;0;14;12;10
"pato";0;0;0;0;3;5;3
"51";0;5;3;0;12;65;33
"negociar";1;1;0;2;2;7;4
"trato";0;0;2;2;1;4;7
"negociación";1;0;1;0;3;13;4
"puerta";4;3;1;0;14;33;35
"valoraron";0;0;0;0;3;7;4
"estimación";4;1;5;3;9;19;7
"52";0;1;5;0;14;59;30
"verificador";0;0;0;0;1;10;1
"confirmar";0;3;3;0;19;39;19
"exactitud";2;0;2;5;17;30;11
"noticiar";0;2;24;7;57;94;58
"fact";0;0;0;0;1;28;10
"evalúa";1;1;4;4;34;45;22
"clasificar";4;1;6;11;55;90;40
"inexacto";0;0;0;0;6;3;2
"desglosa";0;0;0;0;3;8;0
"viñetas";0;0;0;0;1;21;0
"53";0;3;5;2;15;44;40
"asesorar";0;2;1;0;0;12;0
"aspiraciones|aspiración";0;1;1;0;1;12;7
"actualizar";0;1;14;2;44;116;103
"próximo";1;15;8;4;71;108;52
"54";0;2;5;1;16;47;50
"simulador";0;0;0;1;18;12;11
"iglesia";2;4;0;0;1;6;6
"vecino";0;1;0;0;3;14;3
"55";0;6;5;4;23;61;51
"ciego";0;0;1;0;3;17;4
"manual";0;1;1;3;49;135;16
"57";0;3;7;1;18;90;40
"jurídico";0;3;13;6;9;84;19
"jurisprudencia";0;0;1;0;1;8;1
"regulatorio";0;3;0;0;3;27;10
"industrial";7;18;24;0;31;77;36
"pago";0;6;6;2;7;34;23
"atraer";1;5;6;0;15;22;15
"puesto";0;19;13;0;33;23;3
"cualificaciones";0;1;1;0;2;5;4
"59";1;1;7;1;14;47;39
"validar";0;1;0;0;12;82;41
"bing";0;0;2;1;38;85;4
"inquietud";0;0;4;0;19;38;14
"director";1;3;7;19;41;87;26
"saltar";0;0;0;0;8;2;3
"navegar";0;0;3;0;56;75;73
"ciento";2;10;1;1;24;50;6
"61";0;1;6;0;14;40;38
"transición";1;3;5;1;15;49;42
"pro";1;30;5;1;22;226;205
"62";0;4;4;0;12;41;39
"temor";0;4;5;1;20;21;28
"pedirles";0;0;0;0;8;6;4
"llenar";1;0;1;0;7;14;6
"vacío";0;0;2;1;11;20;19
"juzgar";0;0;0;1;9;7;7
"mentor";0;0;0;0;4;16;9
"infinito";3;0;0;2;11;17;12
"oficina";0;3;14;1;22;67;11
"coste";0;0;0;1;9;46;9
"significado";3;1;10;5;22;77;22
"descomponer";0;0;0;0;3;4;5
"emoción";4;1;6;9;73;88;24
"amor";0;0;1;0;31;9;13
"fantasía";0;0;2;0;7;5;1
"experimenten";0;0;0;0;5;6;2
"maestro";2;9;6;0;142;141;23
"campaña";0;0;6;0;8;17;21
"relativamente";4;2;7;3;15;18;12
"excelente";0;0;0;0;18;34;17
"inesperado";0;1;3;0;7;17;6
"65";0;5;7;2;9;162;38
"realista";2;0;4;0;7;44;16
"alinean";0;0;0;1;2;13;4
"gráfico";3;39;4;4;73;327;141
"midjourney";0;0;0;0;8;37;11
"cartel";0;0;0;0;3;7;0
"logotipo";0;2;0;0;1;33;2
"66";0;2;3;3;16;48;36
"limpieza";0;0;0;0;2;8;8
"clasificación";0;5;14;7;46;122;30
"especie";0;0;1;0;30;27;15
"expresión";6;2;87;4;51;154;48
"molesto";0;0;0;0;1;7;27
"2010";0;16;17;3;44;80;92
"capital";1;49;5;1;24;48;14
"celda";0;0;0;2;30;6;6
"tutorial";0;0;1;0;18;15;3
"ordenar";0;1;1;3;19;55;6
"68";0;1;8;2;15;45;34
"seguidor";0;0;2;1;5;2;18
"abrir";7;11;3;1;56;162;115
"marketing";0;6;0;0;33;80;82
"cliente";0;17;9;1;26;137;42
"lucha";0;3;7;0;13;21;5
"abc";0;0;0;0;5;2;23
"instagram";0;0;1;0;17;15;270
"contundente";0;0;0;0;3;2;5
"informal";1;0;6;0;9;67;28
"amigable";0;0;2;0;2;12;4
"administrar";0;3;0;0;10;17;16
"club";0;2;3;0;3;9;3
"hashtags";0;0;0;0;1;7;7
"69";0;3;6;0;6;49;51
"javascript";0;0;0;0;1;14;1
"realisto";1;0;2;0;7;21;12
"pautar";1;3;2;0;25;81;33
"seo";0;0;0;0;2;8;15
"indicarle";0;0;0;0;2;8;0
"interior";0;1;1;0;17;16;7
"71";0;1;4;1;10;58;30
"office";1;1;4;0;12;21;4
"powerpoint";0;0;0;0;1;16;4
"72";0;3;5;0;9;42;34
"giro";0;0;0;0;5;8;6
"demografía";0;0;1;1;3;38;1
"visualización";1;2;1;7;8;51;22
"73";0;0;11;0;6;68;32
"74";0;1;5;0;19;56;31
"progresión";0;0;2;0;3;46;14
"teléfono";1;5;21;0;81;43;90
"noviembre";0;2;9;1;16;78;27
"dedo";2;0;1;1;2;5;2
"saludable";0;1;2;0;4;9;17
"bienestar";0;4;9;9;25;84;54
"hábito";2;0;1;0;19;25;46
"rutina";1;0;1;0;8;32;11
"lleno";0;0;0;0;20;25;11
"alimentación";0;0;0;0;2;11;7
"mayo";3;8;7;0;25;56;62
"diario";2;1;3;2;62;109;69
"semanal";0;0;1;0;1;12;13
"resuelto";0;0;1;1;6;8;2
"jurar";0;0;0;0;2;8;1
"cronograma";0;0;0;0;0;11;3
"ampliar";2;5;13;4;75;184;73
"76";0;3;5;2;12;41;39
"agendas";1;2;1;0;6;6;1
"recopilar";1;1;5;1;28;74;31
"recordatorios";0;0;2;1;5;13;4
"asistir";2;3;5;2;62;162;83
"neural";2;1;5;0;7;16;14
"speech";0;1;8;0;2;16;11
"77";0;3;3;0;10;60;34
"78";0;2;2;0;8;38;32
"ux";0;0;0;0;1;3;7
"afuera";0;0;0;0;5;3;3
"guardar";0;1;1;0;10;26;11
"progreso";4;2;15;6;89;197;84
"duración";0;0;1;0;41;54;37
"intervalo";0;0;0;7;2;11;4
"master";0;0;5;0;3;9;6
"aceptación";0;0;4;0;48;42;13
"maravilloso";0;0;0;2;9;4;1
"79";1;1;4;0;4;33;25
"agiliza";0;0;0;0;0;14;3
"descubrimiento";0;1;8;2;32;69;34
"exchange";0;0;0;0;5;5;2
"blogs";0;2;8;0;12;20;11
"verso";0;0;1;0;3;5;4
"profundidad";1;4;6;0;24;77;57
"belleza";0;0;1;0;5;5;0
"convencer";0;0;0;0;18;10;6
"81";0;2;4;0;11;40;71
"work";2;5;13;0;31;27;92
"colaborativa";1;1;3;1;15;43;23
"mini";0;0;1;0;3;6;2
"ponerse";0;1;1;0;8;8;6
"82";0;0;2;0;9;39;30
"transcribir";0;0;0;0;2;20;4
"regularmente";0;0;1;0;6;13;6
"parcial";0;2;3;1;5;30;22
"lucro";0;3;5;0;12;17;9
"plagar";0;0;0;0;2;7;1
"suelto";0;0;0;0;10;4;0
"drástico";0;3;1;0;2;9;9
"quizás";6;1;8;2;72;43;22
"manualmente";0;0;1;1;1;17;6
"ilimitado";0;0;0;0;6;7;7
"canal";0;1;1;2;23;31;141
"seguramente";0;0;0;3;10;13;5
"83";0;0;6;0;3;77;40
"entusiasmo";1;1;0;0;5;16;19
"determinación";1;0;1;0;6;35;6
"charla";0;0;0;0;8;19;11
"motivadoras";0;0;0;0;2;10;3
"viajar";0;0;0;0;16;5;3
"destino";0;1;0;0;17;17;18
"pronóstico";0;0;2;0;15;11;3
"mantenerse";0;0;1;3;10;37;49
"competencia";50;8;69;19;363;1493;635
"demostración";2;0;1;0;31;14;9
"86";0;1;5;0;10;63;27
"bloque";1;1;4;0;18;92;14
"parámetro";1;1;3;13;13;86;25
"87";0;1;5;0;5;41;26
"horario";0;1;3;3;24;38;28
"priorizar";0;5;0;0;13;34;18
"luchar";1;0;0;0;5;12;5
"prioridad";1;5;25;4;17;68;28
"planificar";2;1;6;0;24;68;42
"88";0;0;8;0;4;48;17
"impactantes";0;0;0;0;2;8;4
"conversión";0;1;1;1;3;15;14
"gan";1;2;2;0;5;9;9
"venta";1;6;2;1;7;24;24
"discapacidades";0;0;2;0;3;61;3
"adaptativos";1;8;1;0;9;23;16
"individualizada";0;0;0;1;9;15;9
"inclusivos";0;0;5;1;7;39;6
"narrativo";0;0;0;0;1;16;6
"radical";4;4;0;0;26;34;24
"talk";0;0;0;0;2;8;2
"to";0;30;37;0;74;117;77
"particularidad";1;0;0;1;3;19;12
"abstracto";0;0;2;2;30;32;22
"drive";0;1;0;0;6;25;19
"desafortunado";0;0;0;0;5;5;1
"anomalía";0;1;2;1;1;17;3
"predictivos";3;1;0;1;8;21;7
"ocurrencia";0;0;0;1;0;5;26
"91";0;0;5;0;14;38;24
"detallado";0;0;3;0;24;101;39
"proyección";0;4;1;0;4;61;15
"competidor";0;0;0;0;1;8;4
"fundamentar";0;0;6;1;20;61;44
"rico";0;57;5;0;13;74;31
"simulación";5;0;2;2;46;194;96
"inmerso";0;0;0;0;1;21;17
"92";1;1;3;2;4;41;34
"variación";3;0;1;9;10;32;16
"estimular";2;4;8;0;9;56;56
"bienvenido";0;0;0;0;4;8;2
"iteraciones";0;0;0;0;4;36;2
"continuo";3;4;22;10;70;337;309
"iteración";0;0;1;0;3;40;7
"posterior";1;1;3;1;25;62;39
"iterativo";0;0;2;0;8;28;5
"usted";0;0;0;0;27;53;9
"estructuradas";0;0;2;0;6;15;2
"93";0;0;3;1;7;44;23
"emprendedor";2;1;0;0;2;8;4
"startups";0;19;3;0;5;14;5
"emergente";2;6;30;4;43;244;82
"financiación";1;10;5;1;15;49;6
"obstáculo";13;3;12;3;40;37;28
"dueño";0;0;1;0;11;7;1
"startup";1;5;1;0;9;10;1
"frío";0;0;0;0;3;5;7
"94";0;1;4;0;8;25;29
"sueño";0;0;0;0;13;8;10
"sorprendente";1;0;4;0;12;23;9
"contrario";2;3;9;2;40;71;50
"steam";2;0;0;0;4;135;5
"animaciones";0;0;1;0;2;23;5
"comments";0;0;0;0;0;11;2
"share";0;0;2;0;5;11;7
"context";0;1;7;0;7;38;38
"95";0;2;6;0;8;61;47
"informativo";0;0;3;1;12;41;23
"titular";1;0;11;2;16;54;13
"boletín";0;0;0;0;1;36;21
"96";0;0;2;1;6;36;44
"jardín";0;0;1;1;1;14;1
"comunitario";0;2;5;0;12;23;8
"subvención";0;3;2;0;2;34;1
"97";0;3;2;0;10;26;28
"prensa";0;1;9;0;9;22;7
"declaración";2;0;17;1;15;125;14
"anunciar";1;7;7;0;10;12;5
"evento";0;0;9;2;61;81;38
"repercusión";0;1;10;2;10;20;17
"98";0;1;1;0;8;21;16
"modificación";0;1;2;0;18;47;30
"color";0;0;2;2;31;59;15
"visualmente";0;0;0;0;5;44;3
"píxeles";0;0;0;0;5;4;3
"png";0;0;0;0;2;17;1
"variable";3;1;14;0;44;91;202
"99";0;1;5;0;9;34;26
"planifica";1;0;0;0;1;6;2
"edad";3;8;8;9;34;151;153
"turno";0;0;1;0;7;11;3
"agosto";0;1;3;0;8;14;11
"200";0;3;0;0;5;33;9
"prompts";0;0;0;0;71;523;104
"impreso";0;0;4;0;7;18;2
"unitec";0;0;0;0;0;16;0
"responsabilizar";0;0;1;0;6;3;2
"coordinación";0;6;10;0;14;56;30
"editorial";1;2;2;7;42;151;52
"sandra";0;0;0;0;0;10;2
"flor";0;0;1;0;13;57;22
"kenia";0;3;2;0;4;6;0
"diciembre";2;2;48;1;24;55;36
"superior";6;10;24;0;575;1004;301
"coordinar";0;4;8;0;11;57;17
"ii";0;9;39;2;13;102;39
"iii";1;8;25;1;11;54;30
"iv";0;4;17;0;4;29;10
"estructural";0;1;3;0;11;29;23
"contabilidad";0;0;1;0;2;9;9
"psicología";1;1;1;0;32;60;30
"postgrado";0;0;0;0;3;9;0
"parar";0;3;1;1;4;9;2
"rúbricas";0;0;0;0;14;54;21
"vii";0;1;1;0;1;10;1
"transitar";0;0;0;0;7;18;12
"período";1;12;9;2;31;51;20
"perseguir";0;2;1;0;6;29;15
"finalidad";0;1;0;3;16;74;22
"agilizando";0;0;0;0;0;9;2
"participativas";0;0;0;0;1;4;5
"chan";0;0;1;0;14;63;16
"estructuración";0;0;1;0;2;16;7
"equidad";0;2;18;12;46;231;122
"protección";1;11;62;16;44;317;128
"indispensable";0;1;1;0;15;49;16
"beneficioso";0;1;3;0;7;43;28
"educador";3;0;7;3;131;449;349
"salvaguardar";0;1;3;0;3;10;2
"equitativo";0;6;33;0;34;168;61
"pedagógico";3;3;6;4;121;625;478
"intensificar";0;0;2;0;0;12;3
"sustancial";0;2;0;0;10;30;26
"allanar";0;1;1;0;1;8;4
"definir";7;5;29;14;127;386;154
"cabo";2;18;14;13;76;216;141
"audios";0;2;1;0;3;48;15
"lineamientos";0;0;0;0;9;25;57
"inteligencias";0;0;0;2;53;48;10
"artificial";17;44;152;16;384;778;486
"monterrey";0;0;0;0;6;27;17
"catálogo";0;1;0;0;11;34;7
"ligar";0;1;1;1;8;25;19
"enriquecer";0;3;1;1;39;242;126
"permanente";2;2;7;0;21;87;35
